county,year,zhvi,seasonality_score,median_income,median_rent,pct_age_25_34,pct_bachelors_plus,zhvi_next,target_growth,lagged_growth,predicted_zhvi_next,predicted_growth,opportunity_score
Dutchess County,2023,410145.6186916667,0.0206592075608357,97273.0,1522.0,0.1098356352475567,0.3972561264074179,436528.7594,0.06432627707323438,0.040645392856997586,434343.22,0.05899758270128987,0.014384545393776892
Dutchess County,2024,436528.7594,0.0275302380837453,99478.0,1582.0,0.1084534907115552,0.4161717164122998,459694.4577666667,0.053067977465007174,0.06432627707323438,457977.28,0.04913426982332294,0.011255677607783966
Dutchess County,2025,459694.4577666667,0.016205883332605,99478.0,1582.0,0.1084534907115552,0.4161717164122998,471903.3382,0.026558685289893805,0.053067977465007174,460718.22,0.0022270466089737515,0.0004844623578438188
Erie County,2022,233554.39977500003,0.0676221823844878,68014.0,984.0,0.1255971203660095,0.3638392059198532,245076.59273333332,0.04933408648877292,0.11751462234415444,249619.31,0.06878445767014654,0.029451150454203226
Erie County,2023,245076.59273333332,0.0292978020088013,71175.0,1037.0,0.1248836895975344,0.3692683166240569,261388.8124833333,0.06655968066174822,0.04933408648877292,262906.38,0.07275187755718139,0.029685363561563125
Erie County,2024,261388.8124833333,0.0267136722165567,72839.0,1090.0,0.1246352388225814,0.3804689377687179,271309.83403333335,0.037955035090236004,0.06655968066174822,272277.38,0.041656574408137546,0.015936632487204727
Erie County,2025,271309.83403333335,0.0114179649072775,72839.0,1090.0,0.1246352388225814,0.3804689377687179,277346.1476,0.022248782791725315,0.037955035090236004,283936.28,0.0465388483305598,0.017153395304072172
Essex County,2022,231423.50365833333,0.0706662300690072,68090.0,875.0,0.1068231762877204,0.311787072243346,252849.6232,0.09258402540348516,0.14525390802484944,248409.36,0.07339728008674554,0.031715568611867126
Essex County,2023,252849.6232,0.074824779708066,70215.0,890.0,0.1052134746608409,0.3130230306383567,260838.09389166665,0.031593761503642404,0.09258402540348516,262150.88,0.036785705599580255,0.014548451816550009
Essex County,2024,260838.09389166665,-0.0066668536359947,71661.0,934.0,0.1001271197901171,0.3279606845831329,242002.86084166667,-0.07221043816484404,0.031593761503642404,252604.08,-0.031567535415614814,-0.012102348604313024
Essex County,2025,242002.86084166667,-0.0229113015709387,71661.0,934.0,0.1001271197901171,0.3279606845831329,256945.9936,0.061747752511529384,-0.07221043816484404,242090.33,0.00036143078238466827,0.00014934979740637808
Franklin County,2022,154681.37138333335,0.0705342642845066,60270.0,788.0,0.1284687835816178,0.221476708441712,159471.5714,0.03096817654141109,0.12560331643832132,161306.16,0.04282858890776852,0.02768826557765005
Franklin County,2023,159471.5714,0.0193953609842851,63747.0,819.0,0.1224450771257383,0.2377098142285407,160021.02999166667,0.0034454955628955685,0.03096817654141109,163594.55,0.025853984122715015,0.016212284042693655
Franklin County,2024,160021.02999166667,0.0191801145191256,65151.0,843.0,0.1243575466849409,0.2380711866421059,159906.71095,-0.0007144001114891925,0.0034454955628955685,163594.55,0.02233154531950848,0.013955381564955198
Franklin County,2025,159906.71095,-0.0039579359488862,65151.0,843.0,0.1243575466849409,0.2380711866421059,163578.0161,0.022959043608544685,-0.0007144001114891925,163594.55,0.023062421227293663,0.014422422355059803
