county,year,zhvi,seasonality_score
Schoharie County,2024,218687.87994166664,0.03721005419243262
Schoharie County,2025,231667.7552,0.00971763679757431
Schoharie County,2026,236741.7048,
Schuyler County,2021,191288.75777499998,0.04257996010092653
Schuyler County,2022,210729.63011666667,0.05215860122288764
Schuyler County,2023,216964.673525,0.02069044660659353
Schuyler County,2024,225807.56239166667,0.030416273105590298
Schuyler County,2025,228693.11645833333,-0.007330165865679053
Schuyler County,2026,229098.0425,
Seneca County,2021,156648.35795833333,0.06153684482977716
Seneca County,2022,175328.21929166667,0.042659232505726355
Seneca County,2023,182965.976475,0.031073886523527782
Seneca County,2024,195252.40266666666,0.037094914004587774
Seneca County,2025,202907.71338333332,0.004042020654037568
Seneca County,2026,208464.4747,
Steuben County,2021,132261.43466666667,0.03308471474026693
Steuben County,2022,146748.85417500001,0.06504771748686236
Steuben County,2023,151765.81765833334,0.019104646865215784
Steuben County,2024,157036.681225,0.022598678807174057
Steuben County,2025,158619.98229166667,-0.012556730020549434
Steuben County,2026,159843.1092,
Suffolk County,2021,539085.1990416667,0.04891845920589831
Suffolk County,2022,591467.4064416667,0.03730371243583194
Suffolk County,2023,604265.2422666667,0.014698516905555507
Suffolk County,2024,650939.8606416667,0.023811373025472257
Suffolk County,2025,676176.0245583333,0.00294409681959512
Suffolk County,2026,688223.9469,
Sullivan County,2021,214297.40186666665,0.09673704777835448
Sullivan County,2022,257756.85339166666,0.09187701476919656
Sullivan County,2023,272447.67335,0.03255974962128135
Sullivan County,2024,292407.29606666666,0.03194314640037476
Sullivan County,2025,302068.66290833335,-0.0042575128991715755
Sullivan County,2026,304741.2131,
Tioga County,2021,150808.46685833333,0.04746455285666249
Tioga County,2022,163395.3685,0.052653457284437766
Tioga County,2023,168940.09639166665,0.02061306163173612
Tioga County,2024,178860.42818333334,0.03391932463704206
Tioga County,2025,185626.83831666666,0.007387655554759884
Tioga County,2026,189112.0555,
Tompkins County,2021,251295.12503333334,0.040628270537626986
Tompkins County,2022,283011.44056666666,0.061391635593661086
Tompkins County,2023,298042.1327083333,0.03410763941947458
Tompkins County,2024,318574.3127666667,0.026268442144149945
Tompkins County,2025,330043.85185833334,0.0028315152432931206
Tompkins County,2026,335080.3834,
Ulster County,2021,310527.2049083333,0.08286089837034522
Ulster County,2022,354895.2886583333,0.06657941710953072
Ulster County,2023,372926.55525,0.024981699800744814
Ulster County,2024,403130.83969166665,0.034903361189497176
Ulster County,2025,417027.160275,0.005027825938762719
Ulster County,2026,422286.3436,
Warren County,2021,265402.5623,0.05604762041601456
Warren County,2022,299838.449825,0.05873943660517629
Warren County,2023,317683.67326666665,0.04045449509145345
Warren County,2024,337956.8292833333,0.028787957331048213
Warren County,2025,344039.4781916667,0.0019155336099242418
Warren County,2026,352306.7829,
Washington County,2021,185966.03206666667,0.04649290894377862
Washington County,2022,204710.51525000003,0.054239884430084206
Washington County,2023,213852.39615833331,0.02566260056203932
Washington County,2024,227371.06555833333,0.0307350365623882
Washington County,2025,230963.419275,0.0016020301167084306
Washington County,2026,233168.4515,
Wayne County,2021,167236.34745,0.057136329393113965
Wayne County,2022,181584.39418333335,0.06810338905351501
Wayne County,2023,194727.0042333333,0.045990968574210436
Wayne County,2024,212819.67619166666,0.04378360998616594
Wayne County,2025,225534.66481666666,0.010133641448517501
